,invoice_no,category,item,quantity,price,location_id,customer_id,invoice_date,payment_id,date_key,day_of_week,month,year,quarter,is_holiday,first_name,last_name,gender,age,dob,email,phone_number,is_churned,days_since_last_purchase,tenure,discount_used,last_purchase_date,purchase_frequency,avg_purchase_value,shopping_mall,city,province_state,country,payment_method,card_type,Unnamed: 3
11,100011,Body Care and Hygiene,Hand Sanitizer,3,9.02,13,443,2022-02-09,4,2022-02-09,Wednesday,February,2022,2022Q1,0,Nicholas,Allen,Other,25.0,1999-05-02,cbrown@page.com,393.005.7189x15735,0.0,993.0,7.0,1.0,2023-10-27,25.0,175.76,The Grove,Los Angeles,California,US,Debit Card - Visa,Visa,
12,100012,Hair Care,Conditioner,1,12.45,58,567,2022-02-20,7,2022-02-20,Sunday,February,2022,2022Q1,1,Amanda,Shaffer,Female,57.0,1967-03-30,calhoungina@gmail.com,001-996-958-0573,1.0,950.0,7.0,1.0,2022-11-27,40.0,164.95,Town Center at Boca Raton,Boca Raton,Florida,US,Cash,,
13,100013,Oral Care,Toothpaste,4,12.64,41,272,2021-12-18,4,2021-12-18,Saturday,December,2021,2021Q4,1,Austin,Spence,Female,44.0,1981-02-16,barnetterika@underwood.com,+1-062-734-3548,1.0,336.0,10.0,1.0,2021-05-24,7.0,341.15,Stanford Shopping Center,Palo Alto,California,US,Debit Card - Visa,Visa,
14,100014,Oral Care,Mouthwash,1,2.58,46,878,2020-01-03,4,2020-01-03,Friday,January,2020,2020Q1,0,Tracy,Underwood,Male,60.0,1964-10-12,joan57@howard.com,(041)023-3725x4069,1.0,197.0,8.0,1.0,2021-02-25,45.0,177.4,Park Meadows,Lone Tree,Colorado,US,Debit Card - Visa,Visa,
15,100015,Hair Care,Hair Oil,4,6.3,42,412,2024-06-03,10,2024-06-03,Monday,June,2024,2024Q2,0,Curtis,Salazar,Other,53.0,1972-02-01,aaronstewart@gmail.com,(709)808-5912,0.0,489.0,6.0,1.0,2023-02-11,21.0,15.36,Brookfield Place,New York,New York,US,Google Pay,,
16,100016,Skin Care,Sunscreen,3,49.9,16,517,2020-04-12,8,2020-04-12,Sunday,April,2020,2020Q2,1,David,Ferguson,Male,70.0,1954-03-16,davidthomas@yahoo.com,(207)299-2339,1.0,1338.0,10.0,1.0,2021-10-16,21.0,496.17,The Oracle,Reading,Berkshire,UK,BNPL (Buy Now, Pay Later),
17,100017,Hair Care,Hair Oil,4,19.32,59,711,2023-03-10,4,2023-03-10,Friday,March,2023,2023Q1,0,Kelly,Shaw,Female,42.0,1982-07-16,vpatterson@snyder.biz,(712)398-6238x7109,1.0,1445.0,1.0,0.0,2023-07-02,37.0,143.09,The Streets at Southpoint,Durham,North Carolina,US,Debit Card - Visa,Visa,
18,100018,Hair Care,Shampoo,1,9.44,10,932,2020-07-20,10,2020-07-20,Monday,July,2020,2020Q3,0,Tara,Pierce,Other,65.0,1959-03-08,wfranco@gmail.com,994.691.3565x05425,1.0,962.0,5.0,1.0,2021-08-16,4.0,147.26,South Coast Plaza,Costa Mesa,California,US,Google Pay,,
19,100019,Body Care and Hygiene,Body Lotion,2,21.05,17,362,2021-11-15,8,2021-11-15,Monday,November,2021,2021Q4,0,Janice,James,Female,63.0,1961-12-16,wolfwilliam@yahoo.com,5949917974,0.0,765.0,9.0,1.0,2023-10-02,34.0,121.43,Lakeside Shopping Centre,Thurrock,Essex,UK,BNPL (Buy Now, Pay Later),
20,100020,Hair Care,Hair Oil,4,48.02,39,586,2024-03-07,5,2024-03-07,Thursday,March,2024,2024Q1,0,Mariah,Dunn,Female,36.0,1988-08-04,xfernandez@yahoo.com,001-869-059-2402x30677,1.0,862.0,10.0,0.0,2023-01-07,2.0,273.75,Scottsdale Fashion Square,Scottsdale,Arizona,US,Debit Card - MasterCard,MasterCard,
21,100021,Hair Care,Hair Oil,2,35.65,47,962,2025-02-09,10,2025-02-09,Sunday,February,2025,2025Q1,1,Sara,Goodwin,Other,50.0,1974-03-19,lhanson@weber-lamb.org,001-344-059-5150x91018,1.0,1371.0,8.0,0.0,2022-11-24,50.0,195.4,The Americana at Brand,Glendale,California,US,Google Pay,,
22,100022,Body Care and Hygiene,Hand Sanitizer,2,12.85,32,244,2023-01-21,5,2023-01-21,Saturday,January,2023,2023Q1,1,Shane,Morris,Male,52.0,1972-08-30,adam83@yahoo.com,001-369-535-6015,1.0,988.0,5.0,1.0,2023-01-11,30.0,111.36,International Plaza and Bay Street,Tampa,Florida,US,Debit Card - MasterCard,MasterCard,
23,100023,Body Care and Hygiene,Deodorant,4,11.58,32,597,2020-07-06,8,2020-07-06,Monday,July,2020,2020Q3,0,Kimberly,Fischer,Female,49.0,1975-11-09,theresa04@rios.info,566-828-8551,1.0,662.0,9.0,1.0,2022-01-23,44.0,199.2,International Plaza and Bay Street,Tampa,Florida,US,BNPL (Buy Now, Pay Later),
24,100024,Body Care and Hygiene,Hand Sanitizer,2,5.37,3,883,2024-06-20,10,2024-06-20,Thursday,June,2024,2024Q2,0,Kelly,Davis,Male,59.0,1965-03-12,greenedaniel@nichols.com,001-042-174-1458x70511,0.0,227.0,10.0,0.0,2024-03-23,12.0,178.82,Westfield London,London,England,UK,Google Pay,,
25,100025,Oral Care,Mouthwash,2,19.96,4,829,2024-11-11,6,2024-11-11,Monday,November,2024,2024Q4,0,Danielle,Ayala,Female,67.0,1957-05-13,nancyparks@tran-morris.info,278-514-1911,1.0,428.0,9.0,1.0,2020-03-28,35.0,304.53,Trafford Centre,Manchester,England,UK,PayPal,,
26,100026,Body Care and Hygiene,Hand Sanitizer,4,12.12,60,327,2024-06-26,9,2024-06-26,Wednesday,June,2024,2024Q2,0,Mitchell,Morris,Female,54.0,1970-11-01,ggraham@gmail.com,(779)030-1070x82312,1.0,400.0,4.0,1.0,2021-06-13,10.0,421.83,Stonebriar Centre,Frisco,Texas,US,Apple Pay,,
27,100027,Hair Care,Shampoo,2,42.19,47,335,2020-07-18,8,2020-07-18,Saturday,July,2020,2020Q3,1,Stephanie,Adams,Male,57.0,1967-11-17,michael47@heath-smith.com,090-413-6544,0.0,101.0,6.0,1.0,2021-01-01,22.0,343.92,The Americana at Brand,Glendale,California,US,BNPL (Buy Now, Pay Later),
28,100028,Oral Care,Toothpaste,2,7.73,37,514,2021-11-14,6,2021-11-14,Sunday,November,2021,2021Q4,1,Tony,Duke,Female,39.0,1985-07-03,morrowdavid@gmail.com,(281)265-0299x8303,0.0,635.0,6.0,0.0,2024-09-20,35.0,333.68,Bloor-Yorkville,Toronto,Ontario,Canada,PayPal,,
29,100029,Skin Care,Lip Balm,4,11.53,19,919,2024-09-02,8,2024-09-02,Monday,September,2024,2024Q3,0,Susan,Stevenson,Male,54.0,1970-10-10,jmyers@yahoo.com,935.134.0938,0.0,33.0,6.0,0.0,2024-12-02,20.0,465.13,Yorkdale Shopping Centre,Toronto,Ontario,Canada,BNPL (Buy Now, Pay Later),
30,100030,Skin Care,Lip Balm,1,10.28,31,379,2020-08-26,2,2020-08-26,Wednesday,August,2020,2020Q3,0,Kelly,Jones,Female,68.0,1957-01-27,jeremy21@gmail.com,+1-042-481-8612,0.0,1063.0,1.0,1.0,2021-08-17,32.0,409.54,Cherry Creek Shopping Center,Denver,Colorado,US,Credit Card - MasterCard,MasterCard,
31,100031,Body Care and Hygiene,Hand Sanitizer,4,7.83,26,37,2022-09-23,8,2022-09-23,Friday,September,2022,2022Q3,0,Kayla,Holland,Male,70.0,1954-06-17,shane45@gonzalez-campos.biz,(995)165-0107x35948,1.0,368.0,2.0,0.0,2020-04-27,50.0,112.07,Easton Town Center,Columbus,Ohio,US,BNPL (Buy Now, Pay Later),
32,100032,Hair Care,Shampoo,2,17.87,26,303,2020-08-11,5,2020-08-11,Tuesday,August,2020,2020Q3,0,Meagan,Brown,Male,55.0,1969-12-28,watkinscynthia@young.net,580.038.0277x06911,1.0,1416.0,7.0,0.0,2024-09-13,5.0,464.56,Easton Town Center,Columbus,Ohio,US,Debit Card - MasterCard,MasterCard,
33,100033,Hair Care,Conditioner,1,25.65,33,715,2024-03-10,5,2024-03-10,Sunday,March,2024,2024Q1,1,William,Hines,Male,54.0,1970-11-28,brianwilson@walker.com,+1-969-938-5816x0277,0.0,772.0,6.0,0.0,2021-10-14,24.0,380.9,Bellevue Square,Bellevue,Washington,US,Debit Card - MasterCard,MasterCard,
34,100034,Skin Care,Lip Balm,2,62.69,32,124,2024-06-07,1,2024-06-07,Friday,June,2024,2024Q2,0,Edward,Hernandez,Other,30.0,1994-05-28,murrayemily@yahoo.com,449.915.5604,0.0,580.0,10.0,0.0,2023-01-27,31.0,400.09,International Plaza and Bay Street,Tampa,Florida,US,Credit Card - Visa,Visa,
35,100035,Skin Care,Lip Balm,3,49.31,51,889,2023-01-07,1,2023-01-07,Saturday,January,2023,2023Q1,1,Karen,Jennings,Female,42.0,1982-04-01,jameswhite@yahoo.com,+1-427-899-5516,0.0,1027.0,7.0,0.0,2021-09-08,20.0,236.42,CambridgeSide,Cambridge,Massachusetts,US,Credit Card - Visa,Visa,
36,100036,Oral Care,Toothpaste,4,17.74,49,649,2021-03-12,8,2021-03-12,Friday,March,2021,2021Q1,0,Louis,Martin,Female,63.0,1961-12-29,valerie39@brown.biz,5678744863,0.0,910.0,8.0,0.0,2022-01-04,29.0,489.65,NorthPark Center,Dallas,Texas,US,BNPL (Buy Now, Pay Later),
37,100037,Skin Care,Face Wash,4,27.08,10,520,2024-09-18,5,2024-09-18,Wednesday,September,2024,2024Q3,0,Mark,Brewer,Other,33.0,1991-06-05,bkennedy@barnes.org,3377264547,0.0,1648.0,2.0,1.0,2024-02-02,35.0,417.26,South Coast Plaza,Costa Mesa,California,US,Debit Card - MasterCard,MasterCard,
38,100038,Body Care and Hygiene,Body Lotion,3,24.64,5,234,2024-08-29,6,2024-08-29,Thursday,August,2024,2024Q3,0,Jason,Collins,Other,50.0,1974-10-01,megan81@yahoo.com,540.038.1737x69835,0.0,1689.0,7.0,1.0,2024-12-20,39.0,467.33,King of Prussia Mall,Philadelphia,Pennsylvania,US,PayPal,,
39,100039,Body Care and Hygiene,Body Lotion,4,13.93,12,331,2022-06-20,2,2022-06-20,Monday,June,2022,2022Q2,0,Johnny,Moore,Female,21.0,2003-02-27,stephen00@hotmail.com,8082106708,0.0,547.0,8.0,0.0,2020-07-07,1.0,369.82,Metrocentre,Gateshead,Tyne and Wear,UK,Credit Card - MasterCard,MasterCard,
40,100040,Hair Care,Conditioner,2,46.87,46,791,2022-03-06,9,2022-03-06,Sunday,March,2022,2022Q1,1,Patrick,Ingram,Female,27.0,1997-06-16,jeffersondawn@yahoo.com,335-378-3925x9838,1.0,1226.0,2.0,1.0,2020-01-23,5.0,280.29,Park Meadows,Lone Tree,Colorado,US,Apple Pay,,
41,100041,Body Care and Hygiene,Deodorant,1,16.56,5,131,2022-03-08,9,2022-03-08,Tuesday,March,2022,2022Q1,0,Daniel,Gomez,Female,56.0,1969-01-12,corey39@yahoo.com,001-327-959-4060x7237,0.0,176.0,3.0,0.0,2021-01-01,11.0,323.96,King of Prussia Mall,Philadelphia,Pennsylvania,US,Apple Pay,,
42,100042,Body Care and Hygiene,Body Lotion,4,24.87,4,911,2024-05-17,8,2024-05-17,Friday,May,2024,2024Q2,0,Danielle,Swanson,Female,69.0,1955-07-12,joannabrooks@miller.net,(314)538-8264x98791,1.0,1182.0,2.0,1.0,2024-10-17,44.0,459.03,Trafford Centre,Manchester,England,UK,BNPL (Buy Now, Pay Later),
43,100043,Skin Care,Sunscreen,4,43.14,19,675,2022-11-03,7,2022-11-03,Thursday,November,2022,2022Q4,0,Deborah,Sanchez,Male,26.0,1998-10-04,hayescourtney@yahoo.com,(848)769-2427x5234,0.0,1729.0,7.0,0.0,2020-04-02,44.0,84.18,Yorkdale Shopping Centre,Toronto,Ontario,Canada,Cash,,
44,100044,Body Care and Hygiene,Deodorant,3,26.93,35,404,2024-06-14,10,2024-06-14,Friday,June,2024,2024Q2,0,David,Avila,Other,70.0,1955-01-23,deanpennington@gmail.com,(593)405-1930x43903,0.0,617.0,4.0,1.0,2024-07-06,45.0,18.07,Bayshore Shopping Centre,Ottawa,Ontario,Canada,Google Pay,,
45,100045,Oral Care,Mouthwash,1,14.64,32,496,2022-04-25,3,2022-04-25,Monday,April,2022,2022Q2,0,Danielle,Perkins,Other,68.0,1956-10-26,clifford85@gmail.com,(596)879-4553,1.0,1270.0,1.0,0.0,2022-12-18,34.0,457.11,International Plaza and Bay Street,Tampa,Florida,US,Credit Card - AMEX,AMEX,
46,100046,Hair Care,Conditioner,4,45.04,12,735,2021-05-18,1,2021-05-18,Tuesday,May,2021,2021Q2,0,Joshua,Johnson,Other,53.0,1971-05-20,alexanderraymond@yahoo.com,(308)322-3424,0.0,1.0,1.0,1.0,2021-08-23,16.0,14.27,Metrocentre,Gateshead,Tyne and Wear,UK,Credit Card - Visa,Visa,
47,100047,Skin Care,Face Wash,1,77.83,22,127,2023-10-17,2,2023-10-17,Tuesday,October,2023,2023Q4,0,Erin,Henson,Other,48.0,1976-11-03,antonio94@yahoo.com,4379145001,0.0,1712.0,4.0,1.0,2020-08-12,32.0,428.46,Tysons Corner Center,McLean,Virginia,US,Credit Card - MasterCard,MasterCard,
48,100048,Oral Care,Toothpaste,2,4.29,58,969,2023-01-14,4,2023-01-14,Saturday,January,2023,2023Q1,1,Robert,Skinner,Female,62.0,1962-03-13,paige52@miller.biz,3275017730,0.0,1696.0,8.0,0.0,2022-08-02,47.0,80.45,Town Center at Boca Raton,Boca Raton,Florida,US,Debit Card - Visa,Visa,
49,100049,Hair Care,Conditioner,1,41.97,29,424,2022-07-11,3,2022-07-11,Monday,July,2022,2022Q3,0,Bryan,Beck,Male,63.0,1962-01-07,nicholswarren@walker.com,(501)552-1500x699,0.0,1285.0,3.0,1.0,2021-06-13,29.0,297.43,The Mall at Millenia,Orlando,Florida,US,Credit Card - AMEX,AMEX,
50,100050,Body Care and Hygiene,Hand Sanitizer,1,12.66,38,337,2021-02-10,10,2021-02-10,Wednesday,February,2021,2021Q1,0,Jill,Fox,Male,60.0,1964-10-01,angelamiller@smith.com,187.632.8975x3032,0.0,1520.0,6.0,0.0,2021-05-12,5.0,267.55,The Shops at La Cantera,San Antonio,Texas,US,Google Pay,,
51,100051,Body Care and Hygiene,Hand Sanitizer,1,17.89,16,354,2022-02-20,10,2022-02-20,Sunday,February,2022,2022Q1,1,Jeremy,Wilson,Female,48.0,1976-12-08,tnielsen@walters-miller.com,786.496.5995x263,1.0,569.0,8.0,1.0,2021-02-22,50.0,419.49,The Oracle,Reading,Berkshire,UK,Google Pay,,
52,100052,Body Care and Hygiene,Body Lotion,2,10.88,10,344,2022-06-26,7,2022-06-26,Sunday,June,2022,2022Q2,1,Kyle,Bennett,Other,28.0,1996-05-02,alan17@yahoo.com,0557839995,1.0,607.0,3.0,0.0,2023-07-24,3.0,319.3,South Coast Plaza,Costa Mesa,California,US,Cash,,
53,100053,Skin Care,Sunscreen,2,98.3,8,579,2024-08-11,6,2024-08-11,Sunday,August,2024,2024Q3,1,Roger,Forbes,Other,65.0,1960-01-20,patricia21@howard.com,001-771-372-2128x51234,0.0,190.0,9.0,0.0,2021-12-02,43.0,440.82,Bluewater Shopping Centre,Dartford,Kent,UK,PayPal,,
54,100054,Skin Care,Moisturizer,4,74.46,3,81,2021-07-10,2,2021-07-10,Saturday,July,2021,2021Q3,1,Scott,Bishop,Other,28.0,1997-01-30,bennettmatthew@simpson.info,726.570.9248x2172,0.0,212.0,8.0,1.0,2020-09-27,45.0,479.04,Westfield London,London,England,UK,Credit Card - MasterCard,MasterCard,
55,100055,Body Care and Hygiene,Deodorant,1,15.96,43,857,2022-10-02,4,2022-10-02,Sunday,October,2022,2022Q4,1,Connie,James,Female,20.0,2004-09-20,shawnhughes@yahoo.com,+1-202-074-3352,0.0,266.0,8.0,1.0,2022-08-09,13.0,177.87,The Domain,Austin,Texas,US,Debit Card - Visa,Visa,
56,100056,Skin Care,Lip Balm,3,30.45,40,605,2020-06-03,3,2020-06-03,Wednesday,June,2020,2020Q2,0,Jason,Bell,Female,49.0,1975-11-22,brownrhonda@hotmail.com,531.217.5685x6523,1.0,1408.0,7.0,1.0,2022-02-17,14.0,78.18,Perimeter Mall,Atlanta,Georgia,US,Credit Card - AMEX,AMEX,
57,100057,Body Care and Hygiene,Hand Sanitizer,3,16.09,33,208,2020-11-26,7,2020-11-26,Thursday,November,2020,2020Q4,0,Steven,Davidson,Other,34.0,1990-06-03,olivia09@hotmail.com,197-869-8543x64729,1.0,1192.0,1.0,0.0,2022-01-11,39.0,230.61,Bellevue Square,Bellevue,Washington,US,Cash,,
58,100058,Skin Care,Lip Balm,3,80.08,15,627,2022-02-01,7,2022-02-01,Tuesday,February,2022,2022Q1,0,Kenneth,Weaver,Other,69.0,1955-08-07,martha35@medina.info,820-545-9679x1530,1.0,522.0,8.0,1.0,2023-05-04,29.0,171.98,Meadowhall,Sheffield,South Yorkshire,UK,Cash,,
59,100059,Hair Care,Shampoo,4,20.61,11,519,2020-01-09,6,2020-01-09,Thursday,January,2020,2020Q1,0,Nancy,Osborne,Other,64.0,1960-11-20,thompsonchristopher@pennington.biz,210-485-1654x23376,0.0,887.0,5.0,0.0,2020-09-03,39.0,311.33,Roosevelt Field,Garden City,New York,US,PayPal,,
60,100060,Oral Care,Toothpaste,4,12.74,28,239,2024-09-14,4,2024-09-14,Saturday,September,2024,2024Q3,1,Joshua,Taylor,Male,29.0,1996-02-11,carrie11@hotmail.com,001-214-909-4560x4406,1.0,688.0,5.0,0.0,2021-07-19,49.0,407.01,Dolphin Mall,Miami,Florida,US,Debit Card - Visa,Visa,
61,100061,Hair Care,Hair Oil,2,30.95,28,344,2022-05-24,1,2022-05-24,Tuesday,May,2022,2022Q2,0,Kyle,Bennett,Other,28.0,1996-05-02,alan17@yahoo.com,0557839995,1.0,607.0,3.0,0.0,2023-07-24,3.0,319.3,Dolphin Mall,Miami,Florida,US,Credit Card - Visa,Visa,
62,100062,Oral Care,Mouthwash,1,9.97,41,714,2022-02-19,9,2022-02-19,Saturday,February,2022,2022Q1,1,Jason,Russell,Male,31.0,1993-10-13,sarah08@maldonado.com,(773)617-2028,1.0,103.0,5.0,0.0,2020-09-25,6.0,248.73,Stanford Shopping Center,Palo Alto,California,US,Apple Pay,,
63,100063,Skin Care,Moisturizer,4,39.87,13,139,2020-07-04,6,2020-07-04,Saturday,July,2020,2020Q3,1,Scott,Morse,Other,49.0,1975-05-22,zdavila@gmail.com,5767431573,1.0,1232.0,7.0,0.0,2022-11-28,26.0,480.51,The Grove,Los Angeles,California,US,PayPal,,
64,100064,Hair Care,Hair Oil,1,13.6,33,694,2020-10-12,9,2020-10-12,Monday,October,2020,2020Q4,0,Lori,Hicks,Male,55.0,1969-10-02,mitchellkevin@gmail.com,838-513-3310x173,0.0,22.0,10.0,0.0,2021-11-12,20.0,237.96,Bellevue Square,Bellevue,Washington,US,Apple Pay,,
65,100065,Body Care and Hygiene,Body Lotion,3,5.08,20,729,2024-01-22,1,2024-01-22,Monday,January,2024,2024Q1,0,Crystal,Nelson,Female,22.0,2002-03-24,jennifer35@gmail.com,001-798-040-3582x112,0.0,229.0,6.0,0.0,2023-10-12,33.0,33.42,The Trafford Centre,Manchester,Greater Manchester,UK,Credit Card - Visa,Visa,
66,100066,Body Care and Hygiene,Body Lotion,3,12.16,59,753,2021-08-04,6,2021-08-04,Wednesday,August,2021,2021Q3,0,Timothy,Brady,Male,66.0,1958-05-30,timothy72@yahoo.com,057-851-1719,1.0,1379.0,4.0,1.0,2023-06-10,7.0,409.19,The Streets at Southpoint,Durham,North Carolina,US,PayPal,,
67,100067,Skin Care,Face Wash,4,79.99,25,558,2022-01-29,4,2022-01-29,Saturday,January,2022,2022Q1,1,Mallory,Gross,Other,24.0,2000-07-02,sanchezsarah@lawrence.com,362.495.3219,1.0,345.0,3.0,1.0,2022-06-24,14.0,438.46,Lenox Square,Atlanta,Georgia,US,Debit Card - Visa,Visa,
68,100068,Skin Care,Sunscreen,2,34.68,8,781,2022-05-02,10,2022-05-02,Monday,May,2022,2022Q2,0,James,Montgomery,Female,56.0,1968-05-07,johnparker@hotmail.com,(612)576-4311,0.0,51.0,5.0,1.0,2024-01-23,12.0,379.59,Bluewater Shopping Centre,Dartford,Kent,UK,Google Pay,,
69,100069,Skin Care,Face Wash,2,20.4,40,149,2024-07-06,5,2024-07-06,Saturday,July,2024,2024Q3,1,Kathy,Moore,Other,31.0,1993-05-04,wattsalexander@williams.com,584.099.4991x577,1.0,1291.0,7.0,0.0,2022-10-26,50.0,280.97,Perimeter Mall,Atlanta,Georgia,US,Debit Card - MasterCard,MasterCard,
70,100070,Oral Care,Mouthwash,3,13.76,49,344,2022-10-14,6,2022-10-14,Friday,October,2022,2022Q4,0,Kyle,Bennett,Other,28.0,1996-05-02,alan17@yahoo.com,0557839995,1.0,607.0,3.0,0.0,2023-07-24,3.0,319.3,NorthPark Center,Dallas,Texas,US,PayPal,,
71,100071,Body Care and Hygiene,Body Lotion,1,6.67,11,341,2021-06-15,6,2021-06-15,Tuesday,June,2021,2021Q2,0,Wesley,Marquez,Female,69.0,1955-07-25,nkeller@frye.com,001-272-471-3816,0.0,535.0,2.0,1.0,2024-08-16,15.0,24.7,Roosevelt Field,Garden City,New York,US,PayPal,,
72,100072,Oral Care,Mouthwash,4,10.9,12,598,2020-01-10,2,2020-01-10,Friday,January,2020,2020Q1,0,Michael,Adams,Male,28.0,1997-02-09,davidmitchell@gonzalez-green.org,353.786.0519x573,1.0,1625.0,1.0,0.0,2023-03-08,2.0,334.09,Metrocentre,Gateshead,Tyne and Wear,UK,Credit Card - MasterCard,MasterCard,
73,100073,Body Care and Hygiene,Hand Sanitizer,1,13.11,15,68,2022-10-06,5,2022-10-06,Thursday,October,2022,2022Q4,0,Natasha,Wright,Female,56.0,1968-09-08,bonnie30@nielsen.com,001-382-017-6520x818,0.0,1010.0,6.0,0.0,2024-06-26,24.0,395.23,Meadowhall,Sheffield,South Yorkshire,UK,Debit Card - MasterCard,MasterCard,
74,100074,Body Care and Hygiene,Hand Sanitizer,1,28.75,3,414,2022-07-18,5,2022-07-18,Monday,July,2022,2022Q3,0,Erik,Pierce,Male,53.0,1971-05-14,swansonchristopher@yahoo.com,082.864.3550x9440,0.0,30.0,6.0,1.0,2024-08-18,20.0,100.75,Westfield London,London,England,UK,Debit Card - MasterCard,MasterCard,
75,100075,Body Care and Hygiene,Body Lotion,3,13.24,59,939,2024-11-03,6,2024-11-03,Sunday,November,2024,2024Q4,1,Daniel,Collins,Female,18.0,2007-02-10,vanessajohnson@clark-acevedo.net,904.636.1191,1.0,898.0,6.0,1.0,2024-05-02,4.0,472.45,The Streets at Southpoint,Durham,North Carolina,US,PayPal,,
76,100076,Oral Care,Mouthwash,2,6.29,31,489,2024-03-07,9,2024-03-07,Thursday,March,2024,2024Q1,0,Brittany,Hall,Other,70.0,1954-12-22,beckmarcus@perez-snyder.net,071-878-6189x23348,1.0,610.0,3.0,1.0,2023-03-23,1.0,5.01,Cherry Creek Shopping Center,Denver,Colorado,US,Apple Pay,,
77,100077,Hair Care,Shampoo,4,26.4,60,586,2021-05-07,9,2021-05-07,Friday,May,2021,2021Q2,0,Mariah,Dunn,Female,36.0,1988-08-04,xfernandez@yahoo.com,001-869-059-2402x30677,1.0,862.0,10.0,0.0,2023-01-07,2.0,273.75,Stonebriar Centre,Frisco,Texas,US,Apple Pay,,
